序號;補習班名稱;班址;電話;立案文號;立案日期;電子郵件;短期補習班類別;地區縣市
8;私立星玥藝術學苑技藝短期補習班;林口區文化三路1段617巷135號(1層);0226001778;1131728507;2024-09-16;;音樂、舞蹈類;新北市政府
9;私立多芮米藝術中心技藝短期補習班;樹林區中山路2段46之1號(1層)、46之2號(1層);0229080214;1131551930;2024-09-16;;音樂、舞蹈類;新北市政府
10;明光文教事業股份有限公司附設私立明光文理短期補習班;板橋區英士路57號1樓;0222510199;1131279665;2024-09-13;;文理類;新北市政府
11;私立建中教育頂大文理短期補習班;蘆洲區三民路211號(1層);0228480866;1131639979;2024-09-12;;文理類;新北市政府
12;私立錡宏文理短期補習班;新莊區榮華路1段99號(1層及第1層夾層);0285219886;1131516629;2024-09-10;;文理類;新北市政府
13;私立建宏文理短期補習班;新莊區中正路891之1號(2層)、891之2號2樓;0912333949;1131442033;2024-09-10;;文理類;新北市政府
14;私立英翔文理短期補習班;三重區三賢街189號2樓(2層);0228573887;1131480697;2024-09-06;;文理類;新北市政府
15;私立田馥真寶貝熊文理短期補習班;土城區裕民路114巷16號2樓;0970398333;1131489530;2024-09-03;;文理類;新北市政府
16;私立海蒂芙技藝文理短期補習班;三峽區三樹路45號(1層);0975851026;1131513734;2024-09-03;;文理類;新北市政府
17;私立贏家義學文理短期補習班;泰山區明志路2段55號2樓;0277562220;1131388868;2024-08-28;;文理類;新北市政府
18;私立歐汎文理短期補習班;三重區重陽路3段126號2樓、128號2樓;0972054015;1131466251;2024-08-26;;文理類;新北市政府
19;裕元文教有限公司附設私立裕元文理短期補習班;林口區文化三路1段635號(1層);0226096257;1131499057;2024-08-20;;文理類;新北市政府
20;凱霖文教事業股份有限公司附設私立凱琳文理技藝短期補習班;新莊區中港路165號1樓(163、165號合併);029912882;1131331243;2024-08-20;;文理類;新北市政府
21;私立采藝技藝短期補習班豐和分班;新店區央北一路118號(1層);0286673333;1131520059;2024-08-20;;音樂、舞蹈類;新北市政府
22;私立晨翔文理短期補習班;三重區集美街112巷29號(1層);0916969979;1131465197;2024-08-14;;文理類;新北市政府
23;福禧文教有限公司附設私立福禧文理短期補習班;土城區裕民路161號2樓;0222708901;1131279664;2024-08-13;;文理類;新北市政府
24;私立慢慢文理短期補習班;新莊區富國路102號7樓;0222020257;1131260269;2024-08-12;letsdoitba102@gmail.com;文理類;新北市政府
25;私立鼎瀚北大文理技藝短期補習班;三峽區國光街37巷4號(1、2層);0955775656;1131431976;2024-08-05;;文理類;新北市政府
26;五花果教育股份有限公司附設私立木林森文理技藝短期補習班;林口區文化北路1段276號(1、2層);0226087520;1131134434;2024-08-02;;文理類;新北市政府
27;私立品赫文理短期補習班;蘆洲區中正路131號(1層);0282816008;1131320522;2024-08-02;tamroneducation@gmail.com;文理類;新北市政府
28;私立新視野文理短期補習班;新店區北新路1段251號4樓;0912679568;1131298352;2024-08-02;;文理類;新北市政府
1;私立祥恩文理短期補習班恆美分班;平鎮區環南路457號2樓;(03)4930925;府教終字第1130262623號;2024-10-15;seansharmony@gmail.com;外語類;桃園市政府
2;格馳股份有限公司附設私立格馳文理短期補習班;大園區致祥一街130號1-2樓;(03)2878686;府教終字第1130251336號;2024-10-15;Maxjino@gmail.com;文理類;桃園市政府
3;私立吉爾堡文理短期補習班;大園區公園路一段53號1-5樓;(03)2870633;府教終字第1130254274號;2024-10-11;kidpamela0108@yahoo.com.tw;文理類;桃園市政府
4;極合教育科技股份有限公司附設私立極上一對一光明文理短期補習班;蘆竹區中正路301號3樓之2;(03)3120400;府教終字第1130244861號;2024-09-24;pearlhung8@gmail.com;文理類;桃園市政府
5;勝騰國際文化有限公司附設私立孟林文理短期補習班;平鎮區廣德街196號1-2樓;(03)4931308;府教終字第1130245595號;2024-09-04;Ethen1129889@gmail.com;文理類;桃園市政府
6;崝藝術股份有限公司附設私立崝藝術技藝文理短期補習班;龜山區文吉路28號1樓;(03)3974679;府教終字第1130213484號;2024-08-29;;文理類;桃園市政府
7;私立奇士威文理短期補習班;蘆竹區南上路29號2-4樓;(03)3119567;府教終字第1130233226號;2024-08-26;Futureplus2023@gmail.com;文理類;桃園市政府
8;私立科達文理技藝短期補習班;八德區東勇二路99號2樓;(03)3615599;府教終字第1130207136號;2024-08-22;a729604@gmail.com;文理類;桃園市政府
9;私立知悉文理短期補習班;中壢區少康二街15號1樓及17號1樓;(03)4288115;府教終字第1130197316號;2024-08-12;d038458@hotmail.com;文理類;桃園市政府
10;私立金威文理短期補習班;中壢區自強六路122號2樓;(03)4628666;府教終字第1130184703號;2024-08-12;Super4628666@gmail.com;文理類;桃園市政府
1;臺中市私立百威文理短期補習班;臺中市大里區內新街163號1-2樓;(04)2483-5958;中市教終字第1130091167號;2024-10-21;gdvi81811212@gmail.com;文理類;臺中市政府
2;臺中市私立茱奕文理短期補習班;臺中市西屯區大隆路178號1樓;0911360430;中市教終字第1130089675號;2024-10-16;iloveandy927@gmail.com;文理類;臺中市政府
3;臺中市私立庫庫坎文理技藝短期補習班;臺中市烏日區明禮街19號1-4樓;(04)23382468;中市教終字第1130085002號;2024-10-08;funfunschool2018@gmail.com;文理類;臺中市政府
4;臺中市私立元容文理短期補習班;臺中市西屯區櫻花路99號1-2樓;04-23156651;中市教終字第1130086792號;2024-10-08;wenchaokm@gmail.com;文理類;臺中市政府
5;臺中市私立新林文理短期補習班;臺中市大里區東明路177號1-3樓;0928-311123;中市教終字第1130084513號;2024-10-04;konglongkid@gmail.com;文理類;臺中市政府
6;郝強文化事業有限公司附設臺中市私立郝強文理短期補習班中華分班;臺中市烏日區中華路557號1-2樓;(04)23379899;中市教終字第1130081288號;2024-09-25;tttony0369@gmail.com;文理類;臺中市政府
7;臺中市私立啟達文理短期補習班新興分班;臺中市北屯區同榮路232巷25號2-3樓;(04)24251178;中市教終字第1130081979號;2024-09-23;hello5568@yahoo.com.tw;文理類;臺中市政府
8;臺中市私立傑立短期補習班;臺中市北屯區旅順路一段201號1-2樓;04-22470527;中市教終字第1130081578號;2024-09-20;dae5477@gmail.com;文理類;臺中市政府
9;臺中市私立盛綸文理短期補習班;臺中市太平區立功路170號1-2樓、172號1-2樓;(04);中市教終字第1130078417號;2024-09-16;;文理類;臺中市政府
10;臺中市私立木橋文理短期補習班;臺中市南屯區大墩二街224號1-2樓;(04)24735563;中市教終字第1130076131號;2024-09-12;bridge23769017@gmail.com;文理類;臺中市政府
11;臺中市私立幼宜文理技藝短期補習班;臺中市太平區樹孝路532號（使用樓層：1-2樓）;(04);中市教終字第1130077367號;2024-09-11;cin022478@yahoo.com.tw;文理類;臺中市政府
12;臺中市私立納菓語文短期補習班;臺中市大甲區德興路54號1-2樓;0937-587189;中市教終字第1130073606號;2024-09-02;flelc.dajia@gmail.com;外語類;臺中市政府
13;臺中市私立東昇文理短期補習班;臺中市太平區東平路536號1-2樓;(04)22762955;中市教終字第1130068719號;2024-08-27;;文理類;臺中市政府
14;臺中市私立上弘文理技藝短期補習班;臺中市南屯區大墩十街331號1-4樓;(04)23201161;中市教終字第1130070136號;2024-08-21;vivian24718402@gmail.com;文理類;臺中市政府
15;臺中市私立聯合文理短期補習班大德分班;臺中市梧棲區文昌路233號1-3樓;;中市教終字第1130068236號;2024-08-19;lianhe8560@gmail.com;文理類;臺中市政府
16;臺中市私立慧雯文理技藝短期補習班;臺中市大甲區興安路35之9號1-2樓;(04)2686-8898;中市教終字第1130068718號;2024-08-19;;文理類;臺中市政府
17;臺中市私立昕進文理短期補習班;臺中市太平區樹孝路336巷8號1-3樓;(04)23927799;中市教終字第1130068720號;2024-08-19;bigsolwu@yahoo.com.tw;文理類;臺中市政府
18;臺中市私立盈家文理短期補習班;臺中市豐原區中正路458號1樓;(04)25202005;中市終教字第1130069287號;2024-08-16;s0923795@gmail.com;文理類;臺中市政府
19;臺中市私立華功動藝文理技藝短期補習班;臺中市大里區中興路二段438-1號地下1樓;0919-556-766;中市教終字第1130066481號;2024-08-12;;文理類;臺中市政府
20;臺中市私立耕學田文理短期補習班;臺中市西屯區西屯路三段166之42號1-5樓;04-24618366;中市教終字第1130065415號;2024-08-08;happygaraton0701@gmail.com;文理類;臺中市政府
1;臺南市私立伊堡文理短期補習班(為比對教職員工資料預登立案資訊);永康區永二街245巷15號1-2樓;(06)2012062;教社字第　號;2024-11-10;;;
2;臺南市私立小熊熊文理短期補習班(為比對教職員工資料預登立案資訊);善化區目加溜灣大道507號1樓;(06)2901810;教社字第　號;2024-11-08;;;
3;臺南市私立蓋數文理技藝短期補習班(為比對教職員工資料預登立案資訊);佳里區義民街343號1-2樓;0925527130;南市教社字第　號;2024-10-31;;;
4;臺南市私立理奧文理短期補習班(為比對教職員工資料預登立案資訊);永康區復華七街57號1-2樓;(06)2043998;南市教社字第1132226681號;2024-10-21;weiduo0830@gmail.com;文理類;臺南市政府
5;臺南市私立幼柏士文理短期補習班佳里分班;佳里區祥和五街115號1-2樓;(06)7232526;南市教社字第1132216190號;2024-10-15;ybs0958208926@gmail.com;文理類;臺南市政府
6;臺南市私立向上文理短期補習班(為比對教職員工資料預登立案資訊);東區東寧路333號1-2樓;(06)2082509;南市教社字第　號;2024-10-14;happyliontndongguang@gmail.com;文理類;臺南市政府
7;臺南市私立瑞希文理技藝短期補習班;永康區大灣路942巷226號1-2樓;(06)2050226;南市教社字第1132163345號;2024-10-14;Supermickey1208@gmail.com;文理類;臺南市政府
8;典陸教育科技股份有限公司附設臺南市私立典陸文理短期補習班文元分班(為比對教職員工資料預登立案資訊);北區文成五路296號1-2樓;(06)2516272;南市教社字第　號;2024-10-14;allentsa@gmail.com;文理類;臺南市政府
9;臺南市私立沐子文理技藝短期補習班;安南區安西路217號1-2樓;(06)2471827;南市教社字第1132162442號;2024-10-09;popeye.chiu@gmail.com;文理類;臺南市政府
10;杏薪教育科技股份有限公司附設臺南市私立愛文元文理短期補習班;北區海安路三段772號1-2樓;(06)2517897;南市教社字第1132147397號;2024-10-08;imwenyuan@gmail.com;文理類;臺南市政府
11;杏薪教育科技股份有限公司附設臺南市私立愛德光文理短期補習班;東區崇學路107號1樓、1樓夾層、2樓;(06)2670538;南市教社字第1132147644號;2024-10-08;imstudy.925@gmail.com;文理類;臺南市政府
12;蘋果芽數位科技股份有限公司附設臺南市私立橘子蘋果電腦文理技藝短期補習班;東區東寧路西段24號1-2樓;02-7709-8229;南市教社字第1132156643號;2024-10-08;hello@orangeapple.co;文理類;臺南市政府
13;臺南市私立喬智文理短期補習班;東區莊敬路13號1-2樓;(06)2080724;南市教社字第1132131864號;2024-09-30;tainangcrobot@gmail.com;文理類;臺南市政府
14;臺南市私立森山思塾科學文理短期補習班;北區長榮路五段6之2號1-2樓;(06)2081258;南市教社字第1132131855號;2024-09-30;morimountain168@gmail.com;文理類;臺南市政府
15;臺南市私立愛塔澈文理短期補習班(為比對教職員工資料預登立案資訊);安南區安富街6號1-2樓;(06)3582569;南市教社字第號;2024-09-25;haidiancenter@gmail.com;文理類;臺南市政府
16;臺南市私立小金羊文理短期補習班;永康區東橋一路572號1-3樓;(06)3021223;南市教社字第1132017028號;2024-08-30;;文理類;臺南市政府
17;臺南市私立迎家文理短期補習班;安平區怡平路415號1-2樓;(06)2985669;南市教社字第1131168228號;2024-08-28;a0921722151@gmail.com;文理類;臺南市政府
18;臺南市私立叡德文理短期補習班;東區崇善路177號1-3樓;(06)2680344;南市教社字第1131076968號;2024-08-16;ruiyang2676651@gmail.com;文理類;臺南市政府
19;臺南市私立雪人文理短期補習班安南分班;安南區安中路三段314號1-2樓;0985294001;南市教社字第1131057835號;2024-08-06;sharonchang72218@gmail.com;文理類;臺南市政府
20;臺南市私立尚育文理短期補習班永大分班;永康區永大路二段410號2樓;(06)2053418;南市教社字第1131048276號;2024-08-05;monkeypinky@gmail.com;文理類;臺南市政府
21;傑競弘升文教事業股份有限公司附設臺南市私立傑晉文理短期補習班;安南區安中路三段201號1-3樓;0921586898;南市教社字第1130984688號;2024-08-01;angel20061314@gmail.com;文理類;臺南市政府
1;私立葳林文理技藝短期補習班新甲分班;鳳山區大明路228號1-2樓;741-3030;高市教社字第11337997000號;2024-10-14;leejean426@gmail.com;文理類;高雄市政府
2;高明一對一學習有限公司附設高明一對一文理短期補習班美術館分班;鼓山區中華一路457號1-2樓;550-3000;高市教社字第11337378100號;2024-10-07;028.km101@gmail.com;文理類;高雄市政府
3;精誠資訊股份有限公司附設恆毅電腦短期補習班;苓雅區新光路38號4樓之1;5361199;高市教社字第11337551800號;2024-09-27;vivian_chan@uuu.com.tw;資訊類;高雄市政府
4;私立貝力達文理短期補習班憲政分班;苓雅區憲政路136號1-2樓;2231891;高市教社字第11337261100號;2024-09-23;shellyqueen0301@gmail.com;文理類;高雄市政府
5;赫越電腦有限公司附設赫越電腦短期補習班建國分班;三民區建國三路111號12樓之1;235-1999;高市教社字第11337321900號;2024-09-20;mouse@appldu.com.tw;資訊類;高雄市政府
5;赫越電腦有限公司附設赫越電腦短期補習班建國分班;三民區建國三路111號12樓之1;235-1999;高市教社字第11337321900號;2024-09-20;elaine@appedu.com.tw;資訊類;高雄市政府
6;私立英捷文理短期補習班;鳳山區新強路205號1樓、夾層、2樓;767-1788;高市教社字第11337210700號;2024-09-18;nicochi@gmail.com;文理類;高雄市政府
7;私立題卜英文文理短期補習班;左營區文府路331號1-2樓及夾層;350-5069;高市教社字第11336895300號;2024-09-04;mir5133@yahoo.com.tw;文理類;高雄市政府
8;英鐸有限公司附設私立育勝文理技藝短期補習班;楠梓區大學東路89號1樓;364-9468;高市教社字第11336738600號;2024-09-02;s2697654@yahoo.com.tw;文理類;高雄市政府
9;紅橙藝術有限公司附設紅橙藝術技藝短期補習班;左營區明誠二路332號8樓之2;0919-881-504;高市教社字第11336650300號;2024-08-28;leejean426@gmail.com;美術、書法、攝影、美工設計、圍棋類;高雄市政府
10;私立高名文理短期補習班五福分班;新興區中正二路222號8樓之1.之2;223-8808;高市教社字第11336543600號;2024-08-28;kmwf8808@gmail.com;文理類;高雄市政府
11;私立敲一敲藝術空間文理技藝短期補習班;鼓山區華榮路240之3號1-3樓;0937-562-998;高市教社字第11336023800號;2024-08-16;cat101tw@yahoo.com.tw;文理類;高雄市政府
12;私立新夢想文理短期補習班;岡山區育英路6巷1號1樓;625-3633;高市教社字第11336114600號;2024-08-12;weiweiturtle@gmail.com;文理類;高雄市政府
13;私立劉威宏資優數學文理短期補習班;苓雅區永靖街5號1樓、夾層、2樓;0934052323;高市教社字第11335504100號;2024-08-05;weihung_liu@yahoo.com;文理類;高雄市政府
14;私立達標文理短期補習班;左營區左營大路678之8號1-2樓;585-7777;高市教社字第11335856700號;2024-08-02;eatingclis@gmail.com;文理類;高雄市政府
15;私立成大文理短期補習班龍新分班;鼓山區大順一路859號1樓、夾層、2樓;555-5005;高市教社字第11335806600號;2024-08-02;leejean426@gmail.com;文理類;高雄市政府
1;新竹市私立東昇文理短期補習班;新竹市東區民族路22號7樓;(03)5268666;府教社字第1130160356號;2024-10-11;;文理類;新竹市政府
2;新竹市私立築鑫升大學文理短期補習班;新竹市新竹市東區東山街25之20號;(03);府教社字第1130160358號;2024-10-11;;文理類;新竹市政府
3;家乘家文教事業有限公司附設新竹市私立家乘家文理技藝短期補習班;新竹市東區關新路203號1-2樓、205號1-2樓;(03)03-5771048;府教社字第1130154285號;2024-09-27;;文理類;新竹市政府
4;新竹市私立芯庭短期補習班;新竹市北區經國路二段36號1至2樓;0989328803;府教社字第1130155455號;2024-09-27;chu101315@gmail.com;文理類;新竹市政府
5;明陵文教有限公司附設新竹市私立明陵文理短期補習班;新竹市東區自由路95巷12號1-2樓;(03)5350525;府教社字第1130155187號;2024-09-23;;文理類;新竹市政府
6;新竹市私立群青畫室技藝短期補習班;新竹市東區東南街120號;(03)5383946;府教社字第1130140932號;2024-09-05;;美術、書法、攝影、美工設計、圍棋類;新竹市政府
7;新竹市私立蒔與美術技藝文理短期補習班;新竹市東區關新東路323號1-2樓;0988928820;府教社字第1130133885號;2024-09-02;;文理類;新竹市政府
8;新竹市私立奧格文理技藝短期補習班;新竹市東區埔頂一路163號一樓、一樓夾層、二樓;(03)5790366;府教社字第1130134086號;2024-08-21;;文理類;新竹市政府
9;新竹市私立貝奇文理短期補習班;新竹市新竹市東區仁義街2號1樓;(03)5430086;府教社字第1130128418號;2024-08-12;bettylee022@yahoo.com.tw;文理類;新竹市政府
1;柳吟文教事業股份有限公司附設新竹縣私立柳吟文理短期補習班東興分班分班;竹北市嘉豐六路一段67號1樓;03-6688587;府授教終字第1139552187號;2024-10-09;lyedu0320@gmail.com;文理類;新竹縣政府
2;約書亞探索體驗有限公司附設新竹縣私立私立約書亞文理短期補習班;竹北市嘉政七街126號1-3樓;03-6582200;府授教終字第1139552077號;2024-10-01;icwc.vincenthsiung@gmail.com;文理類;新竹縣政府
3;新竹縣私立森沐文理技藝短期補習班;竹北市莊敬六街250號1-2樓;(03);府授教終字第1139552033號;2024-09-24;a0921513100@gmail.com;文理類;新竹縣政府
4;一一文教股份有限公司附設新竹縣私立一一專屬教師文理短期補習班;竹北市中興里復興一街193號1樓、一樓夾層及2樓;(03);府授教終字第1139552032號;2024-09-24;naive.autism@gmail.com;文理類;新竹縣政府
5;新竹縣私立傑得文理短期補習班;竹東鎮莊敬路35號1-3樓;03-5956060;府授教終字第1139551973號;2024-09-19;d038458@hotmail.com;文理類;新竹縣政府
6;新竹縣私立一家藝術空間技藝短期補習班;竹北市嘉豐一街142號3樓之1;03-6585869;府授教終字第1139551971號;2024-09-19;sara86tw@gmail.com;美術、書法、攝影、美工設計、圍棋類;新竹縣政府
7;新竹縣私立東昇勝利文理短期補習班;竹北市田厝街27號1樓;0936-380657;府授教終字第1139551806　號;2024-09-06;ccmtc8520@gmail.com;文理類;新竹縣政府
8;新竹縣私立學吧文理技藝短期補習班;芎林鄉文山路439號1-2樓;03-5925968;府授教終字第1139551582號;2024-08-16;caitlin660@gmail.com;文理類;新竹縣政府
9;新竹縣私立知識家文理短期補習班;竹北市勝利十一路17號1樓至4樓;03-6685389;府教授終字第1139551583 號;2024-08-16;smiledoris7@gmail.com;文理類;新竹縣政府
1;苗栗縣私立鴻逸教育文理短期補習班;苗栗縣竹南鎮照南路102號1-2樓;0978016377;府教社字第1130174159號;2024-08-13;nonono0857@gmail.com;文理類;苗栗縣政府
1;彰化縣私立耕新文理短期補習班;彰化市南興里南興街217號1樓、2樓及219號1樓;(04)761-0088;府教社字第1130373843號;2024-10-17;Juting.cc@gmail.com;文理類;彰化縣政府
2;彰化縣私立宇檠文理短期補習班精誠分班;彰化市平和里精誠路7號1樓、2樓及9號1樓、2樓;(04)751-0537;府教社字第1130365165號;2024-10-14;yuching7510537@gmail.com;文理類;彰化縣政府
3;彰化縣私立頂大精英文理短期補習班;彰化市下廍里長順街215巷47號1樓、2樓;(04)722-4965;府教社字第1130354365號;2024-10-01;a92157013@gmail.com;文理類;彰化縣政府
4;彰化縣私立弘育文理短期補習班;和美鎮南佃里彰草路三段45號1樓、2樓;(04)751-3524;府教社字第1130345987號;2024-09-30;jodo7957@gmail.com;文理類;彰化縣政府
5;彰化縣私立洽資文理短期補習班;員林市惠來里日泰街86號2樓;(04)839-0350;府教社字第1130316343號;2024-09-16;;文理類;彰化縣政府
6;彰化縣私立點點木技藝文理短期補習班;員林市育英路607號及609號1樓;(04)833-2369;府教社字第1130320426號;2024-09-13;cchuan81@gmail.com;文理類;彰化縣政府
7;彰化縣私立鯨彩文理技藝短期補習班;彰化市平和里平順二街13之13號1樓、2樓;(04)763-0053;府教社字第1130313151號;2024-09-13;whalebow2025@gmail.com;文理類;彰化縣政府
8;彰化縣私立第七樂章音樂技藝短期補習班;彰化市延平里瑞陽街11巷1號1樓;(04)711-0170;府教社字第1130307846號;2024-08-30;wmmw0606@gmail.com;音樂、舞蹈類;彰化縣政府
9;彰化縣私立智多星文理短期補習班;彰化市西勢里忠誠路32之1號1樓;(04)727-7772;府教社字第1130300681號;2024-08-29;bwm8016@gmail.com;文理類;彰化縣政府
10;彰化縣私立吉佑文理短期補習班湖東分班;溪湖鎮湖東里東興路232號1樓、2樓;(04)885-3880;府教社字第1130289997號;2024-08-29;n21779@yahoo.com.tw;文理類;彰化縣政府
11;彰化縣私立育維文理短期補習班;鹿港鎮永安里東興路29號1樓、2樓;(04)777-7066;府教社字第1130294576號;2024-08-28;;文理類;彰化縣政府
12;彰化縣私立沐樂音樂藝術短期補習班;二林鎮豐田里仁愛路56號1樓、2樓;(04)896-1687;府教社字第1130285550號;2024-08-12;yiafun@gmail.com;音樂、舞蹈類;彰化縣政府
13;彰化縣私立亞瑟文理技藝短期補習班;埔心鄉東門村武聖路469之19號1樓、2樓;(04)828-1111;府教社字第1130277631號;2024-08-08;arthur@arthurschool.org;文理類;彰化縣政府
1;私立朵拉叢林短期補習班;崙背鄉大同路122-3號1樓;(05);府教社二字第1132451788號;2024-10-21;;文理類;雲林縣政府
2;私立數學加文理短期補習班;雲林縣虎尾鎮中山路11巷130號1-2樓;0908-051-697;府教社二字第1132446340號;2024-09-19;yobutter16@gmail.com;文理類;雲林縣政府
1;嘉義市私立喬安文理短期補習班;嘉義市西區遼寧一街147號(1樓);(05)2338283;府教社字第1130951790號;2024-08-19;hfr0615@yahoo.com.tw;文理類;嘉義市政府
1;私立張傑文理短期補習班;嘉義縣新港鄉新中路296號(1樓);(05)3749818;府教終字第1130218676號;2024-08-23;dragonelfin@gmail.com;文理類;嘉義縣政府
1;私立冠昇文理短期補習班羅東分班;羅東鎮公正路284巷1-1號2樓;(03)9611772;府教多字第1130166877號;2024-10-14;;文理類;宜蘭縣政府
2;私立金育文理短期補習班宜蘭分班;宜蘭市東園路41之2號1-2樓;(03)9313993;府教多字第1130145935號;2024-09-19;c131491@yahoo.com.tw;文理類;宜蘭縣政府
3;私立沐果音樂技藝短期補習班;宜蘭市女中路一段209號1-2樓;0958582252;府教多字第1130131820號;2024-08-28;wu8112182005@gmail.com;音樂、舞蹈類;宜蘭縣政府
4;私立興東文理短期補習班;羅東鎮中華路112號;(09)75153833;府教多字第1130125354號;2024-08-23;;文理類;宜蘭縣政府
5;私立柏克萊文理短期補習班;宜蘭市宜蘭市陽明一路69號1樓;(03)9387768;府教多字第1130122369號;2024-08-14;joanne380848@yahoo.com.tw;文理類;宜蘭縣政府
6;私立柏克萊文理短期補習班陽明分班;宜蘭市陽明一路65號2樓;(03)9387768;府教多字第1130122368號;2024-08-14;joanne380848@yahoo.com.tw;文理類;宜蘭縣政府
7;私立職創美髮技藝短期補習班;宜蘭市舊城西路8號4樓之1;0935538791;府教多字第1130120605號;2024-08-14;jessica910612@gmail.com;美容、美髮理髮類;宜蘭縣政府
