序號,補習班,設立人,班主任,班 址,電 話,廢止/註銷,發文日期,廢止/註銷文號,廢止/註銷日期,縣市
21,陽光森林文教股份有限公司附設臺北市私立新生語文短期補習班,陽光森林文教股份有限公司,游秀貞,中正區新生南路1段166號1樓至3樓,2351-5329,註銷,2024-08-27,北市教終字第1133088569號,2024-08-27,台北市
22,三摩地有限公司附設臺北市私立瘋瑜珈技藝短期補習班,三摩地有限公司,梁騰云,松山區敦化南路1段98號1樓,(02)27118996,註銷,2024-08-26,北市教終字第1133088093號,2024-08-26,台北市
23,臺北市私立南方文理短期補習班,陳韻曲,陳惠銘,文山區辛亥路4段21巷12、14號1樓,(02)29328553,註銷,2024-08-14,北市教終字第1133085687號,2024-08-14,台北市
24,臺北市私立好玩音樂技藝短期補習班,許雅迪,許雅迪,士林區忠誠路2段140巷18弄5號1樓、2樓,28740867,註銷,2024-08-09,北市教終字第1133084660號,2024-08-09,台北市
25,臺北市私立文汛文理短期補習班,洪若瑜,洪若瑜,北投區石牌路1段39巷131弄8號1樓,28234092,註銷,2024-08-09,北市教終字第1133084657號,2024-08-09,台北市
26,臺北市私立漢鉅文理短期補習班,蕭志豪,蔡明峰,信義區松隆路99號及101號1樓,27650116,註銷,2024-08-09,北市教終字第1133084655號,2024-08-09,台北市
27,創心文教股份有限公司附設臺北巿私立創心文理語文技藝短期補習班大直分班,創心文教股份有限公司(李佳珍),洪堉綸,中山區敬業一路128巷26號3樓,(02)85015700,註銷,2024-08-09,北市教終字第1133084161號,2024-08-09,台北市
1,私立聖展語文短期補習班,孫頌度,李秀容,永和區竹林路75巷15之2號1樓,89270688,註銷,2024-10-11,府教社字第1131870802　號,2024-10-11,新北市
2,私立立捷文理短期補習班,儲明發,儲明發,汐止區福山街62巷3號2樓,(02)2640-1516,註銷,2024-09-27,府教社字第1131839449　號,2024-09-27,新北市
3,私立貝朵舞苑舞蹈瑜珈短期補習班,鄭淑貞,唐薇婷,三重區重陽路1段108號2樓,(02)29894355,註銷,2024-09-24,府教社字第1131839561　號,2024-09-24,新北市
4,私立威肯珠心算語文文理短期補習班,張文鑫,陳怡穎,汐止區中興路135號2樓之1、3樓之2,(02)2694-2889,註銷,2024-09-13,府教社字第1131692642　號,2024-09-13,新北市
5,私立和田音樂文理技藝短期補習班,謝又隆,王麗玲,淡水區新市一路3段101巷26號(1樓),02-26281515,註銷,2024-09-10,府教社字第1131778729　號,2024-09-10,新北市
6,私立良華美術語文文理短期補習班,洪慶,林慶,五股區成泰路3段543巷7號2樓,(02)22935897,廢止,2024-10-04,府教社字第11316373952　號,2024-08-26,新北市
7,私立文強文理語文短期補習班,鄭素月,李秋儀,三峽區弘園街36巷8號1、2樓,(02)86711066,註銷,2024-08-07,府教社字第1131500917　號,2024-08-07,新北市
8,私立宏碩語文短期補習班,劉怡君,劉怡君,永和區文化路109號1、2樓,(02)89218988,註銷,2024-08-05,府教社字第1131499087　號,2024-08-05,新北市
1,私立一心時代語文短期補習班,游敏琪,江任洸,桃園區民權路6號5樓之2,(03)3360305,註銷,2024-10-21,府教終字第1130292925號,2024-10-21,桃園市
2,私立福克斯文理語文數學短期補習班青埔分班,葉誼箴,陳慧媛,大園區致善路一段88號1樓,(03)2875210,註銷,2024-10-15,府教終字第1130286995號,2024-10-15,桃園市
3,私立黃秋芳語文短期補習班,黃秋芳,黃秋芳,中壢區中北路2段220號1-2樓,(03)4285877,註銷,2024-09-27,府教終字第1130268482號,2024-09-27,桃園市
4,私立高第文理語文短期補習班,林桃,林瑞卿,桃園區永康街57號1樓,(03)3368673,註銷,2024-09-24,府教終字第1130266705號,2024-09-24,桃園市
5,長頸鹿文化事業股份有限公司桃園分公司附設私立長頸鹿美語短期補習班,長頸鹿文化事業股份有限公司桃園分公司 代表人:魏忠香,魏淑芳,桃園區三民路三段284號13樓,(03)3337338,註銷,2024-09-23,府教終字第1130264635號,2024-09-23,桃園市
6,私立尚品語文短期補習班,李宗彥,吳立偉,桃園區同德六街170號2樓及170-1號2樓,(03)3469600,註銷,2024-09-19,府教終字第1130263007號,2024-09-19,桃園市
7,私立衛理美語短期補習班,洪國龍,黃翊軒,桃園區中正路1388號1-2樓,(03)3567732,註銷,2024-09-19,府教終字第1130263346號,2024-09-19,桃園市
8,私立普羅語文短期補習班,李宗彥,林蓁苡,桃園區永順街62號1至2樓,(03)3020555,註銷,2024-09-06,府教終字第1130248375號,2024-09-06,桃園市
9,私立音樂城堡音樂短期補習班,王郁汶,王郁汶,桃園區吉昌街88巷2號1樓,(03)2208009,註銷,2024-09-06,府教終字第1130250306號,2024-09-06,桃園市
10,私立力文文理短期補習班,張自強,張自強,"中壢區龍東路310號1,2樓",(03)4664789,註銷,2024-09-05,府教終字第1130246669號,2024-09-05,桃園市
11,私立華陞文理短期補習班,華順發,華順發,桃園區中山東路219號之2第三層部分(前半部),(03)3322394,廢止,2024-08-21,府教終字第1130233022號,2024-08-21,桃園市
12,私立秝沄舞蹈短期補習班,謝滿妹,魏淯汝,中壢區健行路51號1-4樓,(03)4598767,註銷,2024-08-14,府教終字第1130222487號,2024-08-14,桃園市
1,臺中市私立星光英語短期補習班,林文寶,林文寶,臺中市西區五權西六街168、170號1-2樓,(04)23781238,廢止,2024-10-18,中市教終字第1130090073號,2024-10-18,台中市
2,臺中市私立欣澄技藝文理短期補習班,羅欣宜,羅欣宜,臺中市清水區忠誠路330巷2號2樓,(04)26263958,註銷,2024-10-17,中市教終字第1130090719號,2024-10-17,台中市
3,私立儒門文理電腦短期補習班,王志銘,王志銘,406台中市北屯區崇德路2段222號1~3樓,04-22479009,註銷,2024-10-11,中市教終字第1130087822號,2024-10-11,台中市
4,臺中市私立安君兒語文短期補習班,陳維助,陳維助,臺中市龍井區茄投路1之10號1樓,6399903,註銷,2024-10-09,中市教終字第1130088397號,2024-10-09,台中市
5,臺中市私立萬將文理短期補習班,洪素芬,林心崧,臺中市烏日區 興祥街118號2樓,0919061200,註銷,2024-10-08,中市教終字第1120052680號函,2024-10-08,台中市
6,私立暘雲文理短期補習班,林筱玲,林筱玲,406台中市北屯區北平路4段123號3樓,04-22327776,註銷,2024-10-04,中市教終字第1130086454號,2024-10-04,台中市
7,臺中市私立紅石數位文理短期補習班,方雅韻,方雅韻,臺中市西屯區大容東街90號6樓之2,(04)23260567,註銷,2024-09-23,中市教終字第1130082141號,2024-09-23,台中市
8,美甲花有限公司附設臺中市私立花美甲美甲短期補習班,美甲花有限公司(代表人:楊淑玲),蔡佩華,臺中市南區福田五街28號1-2樓,(04)2265-9338,註銷,2024-09-20,中市教終字第1130082255號,2024-09-20,台中市
9,數位地球村語文資訊有限公司附設臺中市私立數位地球村語文短期補習班,數位地球村語文資訊有限公司(法代:陳中義),柯妙青,臺中市南區國光路363之1號1-3樓,(02)55561111,註銷,2024-09-02,中市教終字第1130075141號,2024-09-02,台中市
10,臺中市私立強昇文理短期補習班,李清木,李清木,407臺中市西屯區國安一路155號1-2樓,(04)24615892,註銷,2024-08-26,中市教終字第1130071794號,2024-08-26,台中市
11,臺中市私立愛爾斯文理短期補習班,曾淑華,謝碧雲,臺中市清水區光華路126號1-2樓,(04)26223732,註銷,2024-08-20,中市教終字第1130070577號,2024-08-20,台中市
12,私立好朋友舞蹈職業短期補習班,陳錦煌,張正榕,400台中市中區雙十路1段1號11樓,04-22247503,廢止,2024-08-20,中市教終字第1130070290號,2024-08-20,台中市
13,臺中市私立楊氏速讀附設英文短期補習班,楊碧山,楊杰璁,臺中市北區育才街3巷3號1-2樓,04-22230330,註銷,2024-08-08,中市教終字第1130067074號,2024-08-08,台中市
14,臺中市私立王瑜文理短期補習班,王永豊,王健寧,臺中市大雅區雅環路二段277號1-4樓,(04)25609636,註銷,2024-08-07,中市教終字第1130066800號,2024-08-07,台中市
15,臺中市私立鐵三角文理短期補習班,何家豪,鍾芳蓉,"臺中市北屯區九龍街121號,使用樓層1-3樓",(04)22335075,註銷,2024-08-01,中市教終字第1130065094號,2024-08-01,台中市
1,臺南市私立冠穎文理短期補習班,方建雄,方櫻娟,佳里區文化路330號1-2樓,(06)7211068,註銷,2024-10-17,南市教社字第1132148284號,2024-10-01,台南市
2,臺南市私立大文元文理短期補習班,張景翔,陳怡文,北區海安路三段880號1-2樓,(06)2811588,註銷,2024-10-14,南市教社字第1132224796號,2024-09-30,台南市
3,臺南市私立達人文理短期補習班,邱慧旻,邱慧旻,東區崇明十九街2號1-2樓、4號1樓,0960331650,註銷,2024-10-08,南市教社字第1132183495號,2024-09-30,台南市
4,臺南市私立威斯康辛文理短期補習班,李昭仁,李昭仁,安南區富東路212號1-2樓,(06)3505920,註銷,2024-10-04,南市教社字第1132156682號,2024-09-20,台南市
5,臺南市私立維多文理短期補習班,陳定洋(負責人)、吳福源,吳熒驊,永康區復華七街213號1-2樓,(06)2043998,註銷,2024-09-27,南市教社字第1132135504號,2024-09-20,台南市
6,臺南市私立優能文理短期補習班裕農分班,盧淑銀,蘇芸嫺,東區裕農路61之1號1-2樓,(06)2762388,註銷,2024-10-08,南市教社字第1132183512號,2024-09-16,台南市
7,臺南市私立恩得文理短期補習班,高晶晶,高晶晶,東區崇明路610號1-3樓,(06)2680113,註銷,2024-09-16,南市教社字第1132068353號,2024-09-01,台南市
8,長頸鹿文化事業股份有限公司附設臺南市私立傑瑞美語短期補習班,長頸鹿文化事業股份有限公司(負責人：魏忠香),魏忠香,永康區中華路1-129號19樓H室,(06)3111911,註銷,2024-09-24,南市教社字第1132110635號,2024-08-31,台南市
9,臺南市私立樹人文理短期補習班海佃分班,江芳瑜,陳以軒,安南區富東路197號1-2樓,(06)3585149,註銷,2024-08-28,南市教社字第1131184544號,2024-08-31,台南市
10,臺南市私立快樂寶貝文理短期補習班,范雅鈞,潘弘益,新營區中山路138之3號1-2樓,(06)6323033,註銷,2024-09-10,南市教社字第1132047304號,2024-08-30,台南市
11,臺南市私立A與A+文理短期補習班,徐松枝,許曉莉,南區大同路2段706號2樓,(06)2900588,註銷,2024-08-16,南市教社字第1131138936號,2024-08-05,台南市
12,臺南市私立劉叔叔文理短期補習班,劉豪隆,吳采蓮,關廟區五權街37號1-2樓,06-5964818,註銷,2024-08-12,南市教社字第1131078978號,2024-08-05,台南市
13,臺南市私立永功文理短期補習班崇明分班,劉家慧,秦蕙雯,東區崇明路487號1-2樓,(06)2902525,註銷,2024-08-26,南市教社字第1131186152號,2024-08-01,台南市
1,私立恆毅電腦短期補習班,精誠資訊股份有限公司高雄分公司(負責人：林隆奮),柳權祐,前鎮區中山二路2號25樓之5,536-1199,註銷,2024-10-11,高市教社字第11337914400號,2024-10-14,高雄市
2,私立佑昌文理珠心算短期補習班,曹舜華,曹舜德,楠梓區萬昌街3號1-4樓,365-6177,註銷,2024-09-12,高市教社字第11337007800號,2024-09-12,高雄市
3,私立清淨文理短期補習班,蔡穎睿,蔡穎睿,三民區興安街79號2樓,311-9696,註銷,2024-09-11,高市教社字第11337128400號,2024-09-11,高雄市
4,長頸鹿文化事業股份有限公司附設高雄市私立長頸鹿美語短期補習班,長頸鹿文化事業股份有限公司代表人：魏忠香,林立倫,三民區臥龍路113號6樓,387-8836,註銷,2024-09-11,高市教社字第11337089500號,2024-09-11,高雄市
5,私立百博文理短期補習班新館分班,黃嘉文,薛約瑟,三民區褒揚街210號1-2樓,390-5019,註銷,2024-09-10,高市教社字第11337077400　號,2024-09-10,高雄市
6,學習王科技股份有限公司附設楷模書院文理短期補習班,學習王科技股份有限公司(代表人：郭英標),林慧玲,三民區興隆街3號1樓及夾層,380-5092,註銷,2024-08-28,高市教社字第11336621200號,2024-08-28,高雄市
7,私立志勝文理短期補習班,謝紹維,楊雅晴,仁武區中華路209號,374-2518 / 374-2517,註銷,2024-08-08,高市教社字第11335975600號,2024-08-15,高雄市
8,志光教育科技股份有限公司附設學廬法商文理公職證照短期補習班,志光教育科技股份有限公司(代表人：張家旗),陳凱貞,三民區建國二路198號1-2樓,235-4321,註銷,2024-08-12,高市教社字第11336089200　號,2024-08-12,高雄市
9,志光教育科技股份有限公司附設正學廬法商文理公職證照短期補習班,志光教育科技股份有限公司（代表人：張家旗君）,顏威育,三民區建國二路198號11樓之1、之2,235-4322 / 235-1234,註銷,2024-08-12,高市教社字第11336089800　號,2024-08-12,高雄市
10,私立卓勝文理短期補習班,蔡宏志,蔡宏志,鼓山區美術東六街117號1樓、119號1樓,522-3665,註銷,2024-08-06,高市教社字第11335888500號,2024-08-09,高雄市
11,私立佑全文理短期補習班,吳幸珊,吳其孟,左營區自由四路361號1-4樓,341-6006,註銷,2024-08-08,高市教社字第11336038500號,2024-08-08,高雄市
12,財團法人福智文教基金會附設高雄市私立培德文理技藝短期補習班,財團法人福智文教基金會(代表人：陳全成),蔡光亮,楠梓區慶昌街72巷10號1-4樓,363-1534,註銷,2024-08-06,高市教社字第11335880800號,2024-08-07,高雄市
1,基隆市私立筌威英語短期補習班,黃素蘭,熊瑞琴,基隆市安樂區樂利三街22之7號1樓及地下4層,（02）2432-1630,廢止,2024-09-10,基府教終貳字第1130244059號,2024-09-05,基隆市
1,新竹市私立親仁科園文理短期補習班,鄭力恒,鄭力恒,新竹市東區關新西街49號4樓,(03)5787222,廢止,2024-08-12,府教社字第1130132112號,2024-08-12,新竹市
1,新竹縣私立艾力克文理才藝短期補習班,潘玟佳,潘玟佳,新竹縣新豐鄉山崎村福德街72號1至4樓,(03)5595540,註銷,2024-09-20,府授教終字第1139552010號,2024-09-16,新竹縣
2,新竹縣私立華盛頓文理短期補習班,周玉典,周玉典,竹東鎮自強路28號1-2樓,(03)5966988,註銷,2024-08-15,府授教終字第1139551565號,2024-08-12,新竹縣
1,私立安連音樂短期補習班,郭怡君,石宏雅,溪湖鎮環中街60號1樓、2樓,(04)881-0938,註銷,2024-10-15,府教社字第1130394494號,2024-10-11,彰化縣
2,彰化縣私立子優文理短期補習班,黃淑芳,林美玲,彰化市埔北街239號1、2樓,(04)7125674,廢止,2024-09-23,府教社字第1130363706號,2024-09-23,彰化縣
3,私立陳贊民文理短期補習班,陳 贊 民,陳政智,彰化市中華路93號5樓,7276082,註銷,2024-09-20,府教社字第1130364770號,2024-09-18,彰化縣
4,私立希望園道英日文短期補習班,蔡惠任,蔡炤勤,員林市育英路61-6號2.3樓,(04)8315366,廢止,2024-09-16,府教社字第1130354557號,2024-09-16,彰化縣
5,私立正典語文短期補習班,李揚清,李揚清,北斗鎮光仁街214號1.2樓,(04)8872945,註銷,2024-09-02,府教社字第1130334030號,2024-09-01,彰化縣
6,彰化縣私立冠得文理短期補習班,陳玲慧,吳翊宇,彰化市陽明街149號1、2樓,(04)7283268,註銷,2024-09-03,府教社字第1130336035號,2024-08-29,彰化縣
7,私立東亞插花短期補習班,張至誠,陳秀卿,員林市中正路528巷12號,8321143,廢止,2024-08-13,府教社字第1130308165號,2024-08-13,彰化縣
8,私立育偉文理短期補習班,呂淑慧,蘇婉如,鹿港鎮鹿草路一段109號,(04)7788612,註銷,2024-08-16,府教社字第1130310994號,2024-08-12,彰化縣
9,私立埔上文理短期補習班,陳榮傑,張源益,埔心鄉員鹿路二段三八五號,8282585,註銷,2024-08-09,府教社字第1130302889號,2024-08-07,彰化縣
1,地球村出版有限公司南投分公司附設南投縣私立地球村美日語短期補習班,地球村出版有限公司南投分公司(鄧秋慧),楊巧鈴,草屯鎮中正路730號1-4樓,(049)2365556,註銷,2024-10-14,府教社字第1130247044號,2024-10-14,南投縣
2,南投縣私立大航海文理短期補習班,李孟陶,李孟陶先生,水里鄉南光村中山路1段286號1-3樓,0953329918,註銷,2024-09-12,府教社字第1130221039號,2024-09-12,南投縣
3,南投縣私立中興文理短期補習班,共同設立人：顏克敏、顏?昌，設立人代表：顏克敏,顏克敏,南投市南崗一路135巷3號1-3樓,(049)2222657,註銷,2024-08-15,府教社字第1130202021號,2024-08-15,南投縣
1,私立小蝌蚪音樂短期補習班,湯姵瑜,湯姵瑜,雲林縣西螺鎮新興路120號1樓,(05)587309,註銷,2024-08-05,府教社二字第1132437343號,2024-08-05,雲林縣
1,嘉義市私立學進文理短期補習班,陳謝忠,陳謝忠,600001嘉義市西區力行街26號(1-3樓),05-2255963,註銷,2024-10-04,府教社字第1130953573號,2024-10-04,嘉義市
2,嘉義市私立新園文理短期補習班,邱昭哲,貝承融,600041嘉義市東區小雅路419之1號(2樓),(05)2714320,註銷,2024-08-08,府教社字第1135022248　號,2024-08-08,嘉義市
1,屏東縣私立建穩文理短期補習班,王韋雄,梁增英,屏東市大武路41號,(08)7519722,廢止,2024-10-11,屏府教終字第1130133481號,2024-10-11,屏東縣
1,私立小博士英語會話短期補習班,李明朝,李明朝,頭城鎮青雲路三段72號1樓,(03)9771777,註銷,2024-09-30,府教多字第1130164259號,2024-09-30,宜蘭縣
