序號,補習班,設立人,班主任,班 址,電 話,廢止/註銷,發文日期,廢止/註銷文號,廢止/註銷日期,縣市
6,資訊地球村語文有限公司附設私立國際村文理短期補習班,資訊地球村語文有限公司（代表人：陳中義）,蔡惠羽,三民區覺民路650號1樓及夾層,386-9998,註銷,2024-07-31,高市教社字第11335664900　號,2024-07-31,高雄市
7,私立鴻文升學文理短期補習班明誠分班,蘇桂芳,陳正秋,左營區明誠二路332號5樓之2,550-8511,註銷,2024-07-23,高市教社字第11335620900號,2024-07-31,高雄市
8,私立光武外語短期補習班,黃虳,羅麗卿,三民區淵明街30號1-3樓,383-1200,註銷,2024-07-23,高市教社字第11335499200　號,2024-07-23,高雄市
9,私立耶加文理短期補習班新民分班,沈文麟,謝宛真,左營區文瑞路75號1-2樓,345-4681,註銷,2024-07-16,高市教社字第11335452500號,2024-07-16,高雄市
10,私立孟儒文理短期補習班,劉淑菁,曾靖雯,左營區南屏路34號1-3樓,550-5960,註銷,2024-07-16,高市教社字第11334923300號,2024-07-16,高雄市
11,私立黃明文理短期補習班,黃開杏,黃開杏,前金區自強二路102-5號5樓之1,271-2001,註銷,2024-07-11,高市教社字第11335337500號,2024-07-11,高雄市
12,私立力勤侯老師升學文理短期補習班,陳建銘,吳清雲,楠梓區岳陽街55號1-3樓,351-9907,註銷,2024-07-09,高市教社字第11335166600號,2024-07-10,高雄市
13,私立辛老師文理短期補習班,吳柏萱,辛素卿,鼓山區九如四路1388號1-2樓,521-7374,註銷,2024-06-26,高市教社字第11334643100號,2024-07-01,高雄市
14,私立正白文理珠心算短期補習班,林家勤,林恒正,前鎮區瑞誠街69號1-2 樓,715-5665,註銷,2024-06-25,高市教社字第11334815200號,2024-07-01,高雄市
15,私立世馨文理短期補習班,黃志豪,黃志豪,小港區漢威街46號1-3樓,815-0187  /  815-0235,註銷,2024-06-14,高市教社字第11334557200號,2024-07-01,高雄市
16,私立嘉鴻文理短期補習班,莊祝娥,楊鎵瑜,鳳山區青年路二段365號1-4樓,767-7088,註銷,2024-06-24,高市教社字第113347349號,2024-06-18,高雄市
1,基隆市私立榮星文理短期補習班,嚴璧君,嚴璧君,基隆市安樂區樂利三街30巷15號1樓,（02）2433-3018,廢止,2024-07-05,基府教終貳字第1130234373號,2024-07-05,基隆市
2,基隆市私立博文文理短期補習班,江幸鴻,江幸鴻,基隆市中山區中和路168巷7弄22號2樓,（02）2437-3928,廢止,2024-06-12,基府教終貳字第1130229446號,2024-06-12,基隆市
1,新竹市私立親仁科園文理短期補習班,鄭力恒,鄭力恒,新竹市東區關新西街49號4樓,(03)5787222,廢止,2024-08-12,府教社字第1130132112號,2024-08-12,新竹市
2,新竹市私立約瑟美語短期補習班,吳月真,吳月真,新竹市中華路六段411-1號1-2樓,(03)5377558,註銷,2024-07-11,府教社字第1130116344號,2024-07-05,新竹市
3,新竹市私立學順文教國語文短期補習班,楊麗珠,楊麗珠,新竹市牛埔路14巷6弄19-16號1樓,(03)5302977,註銷,2024-07-16,府教社字第1130118471號,2024-07-01,新竹市
1,新竹縣私立華盛頓文理短期補習班,周玉典,周玉典,竹東鎮自強路28號1-2樓,(03)5966988,註銷,2024-08-15,府授教終字第1139551565號,2024-08-12,新竹縣
1,苗栗縣私立柏克萊文理短期補習班,鄧志洋,黃宇震,苗栗縣苗栗市建功里新倉街12巷1號,0920300110,註銷,2024-07-26,府教社字第1130159420號,2024-07-26,苗栗縣
1,私立東亞插花短期補習班,張至誠,陳秀卿,員林市中正路528巷12號,8321143,廢止,2024-08-13,府教社字第1130308165號,2024-08-13,彰化縣
2,私立育偉文理短期補習班,呂淑慧,蘇婉如,鹿港鎮鹿草路一段109號,(04)7788612,註銷,2024-08-16,府教社字第1130310994號,2024-08-12,彰化縣
3,私立埔上文理短期補習班,陳榮傑,張源益,埔心鄉員鹿路二段三八五號,8282585,註銷,2024-08-09,府教社字第1130302889號,2024-08-07,彰化縣
4,私立奪冠文理短期補習班,曾莉雯,曾莉雯,伸港鄉信義路145號1.2樓,0975295071,註銷,2024-08-02,府教社字第1130292226號,2024-07-30,彰化縣
5,私立安聖數學短期補習班,謝雅玲,謝耀駿,和美鎮孝悌路12號1.2樓,(04)7576847,註銷,2024-08-08,府教社字第1130296279號,2024-07-29,彰化縣
6,彰化縣私立林惠英美語短期補習班,林惠英,林惠英,埔心鄉明聖路三段128巷21號1、2樓,(04)8355006,註銷,2024-08-01,府教社字第1130288044號,2024-07-29,彰化縣
7,私立名辰美語短期補習班,謝揚良,謝雨蓁,員林市成功東路146號1.2樓,(04)8381406,註銷,2024-07-30,府教社字第1130285552號,2024-07-22,彰化縣
8,私立陳三元美語會話短期補習班,郭榮華,陳蓮娟,鹿港鎮頂草路四段241號1.2樓,(04)7716412,註銷,2024-07-26,府教社字第1130279230號,2024-07-18,彰化縣
9,私立弘捷文理短期補習班,陳棧福,陳棧福,二林鎮二城路701號1樓,(04)8957158,註銷,2024-07-26,府教社字第1130281681號,2024-07-18,彰化縣
10,私立楊氏速讀技能短期職業補習班,吳素瑛,吳素瑛,彰化市中正路一段463號2樓,7234017,註銷,2024-07-23,府教社字第1130279226號,2024-07-18,彰化縣
11,私立巧宜智珠心算短期補習班,葉文櫻,葉文櫻,和美鎮德美路二九一號一樓,7568285,註銷,2024-07-23,府教社字第1130279223號,2024-07-18,彰化縣
12,私立懷葉文理短期補習班,葉珀妏,葉珀妏,和美鎮彰新路二段452號1.2樓,(04)7350882,註銷,2024-07-23,府教社字第1130279219號,2024-07-18,彰化縣
13,彰化縣私立金台大文理短期補習班,陳貞竹,柯皓閔,二林鎮斗苑路五段77號1、2樓,(04)8960520,廢止,2024-07-18,府教社字第1130273429號,2024-07-17,彰化縣
14,私立全方佑英語短期補習班,施權祐,施權芳,彰化市辭修路187號1.2樓,(04)7636583,註銷,2024-08-01,府教社字第1130289993號,2024-07-16,彰化縣
15,私立建志文理短期補習班,楊佳燕,楊佳燕,彰化縣花壇鄉成功街208巷11號1樓、2樓,(04)7866442.7874561,註銷,2024-07-19,府教社字第1130275733號,2024-07-12,彰化縣
16,私立千千美容美髮短期補習班,蔡橙逸,蔡橙逸,彰化市竹和路45巷3號,7254077,註銷,2024-07-18,府教社字第1130272846號,2024-07-12,彰化縣
17,私立立志文理短期補習班,陳香瑾,葉玉雲,彰化市南郭路一段47巷13號5樓,(04)7227640,註銷,2024-07-16,府教社字第1130269053號,2024-07-11,彰化縣
18,私立微峰美容短期補習班,董憶蓉,董憶蓉,彰化市永樂街12號3樓之2,【 0987486486 】                     【 04-7618161 】,註銷,2024-07-15,府教社字第1130267574號,2024-07-11,彰化縣
19,私立小樹苗英語短期補習班,陳標,朱雅苓,員林市員東路二段仁愛巷2弄1號1-2樓,(04)8364017,註銷,2024-07-15,府教社字第1130265792號,2024-07-11,彰化縣
20,彰化縣私立開心文理短期補習班,李素珍,黃昱翔,鹿港鎮溝墘里溝漧巷259弄53號1、2樓,(04)7717077,註銷,2024-07-09,府教社字第1130258026號,2024-07-04,彰化縣
21,私立小種子美語短期補習班,陳標,朱曼華,永靖鄉港西村福德巷7號1.2樓,(04)8364017,註銷,2024-07-09,府教社字第1130256922號,2024-07-02,彰化縣
22,私立英群數學短期補習班,許惠美,許惠美,鹿港鎮永安二路98之3號1.2樓,(04)7746528,註銷,2024-07-02,府教社字第1130252999號,2024-07-01,彰化縣
23,私立佳陽文理短期補習班,高幼日,高幼日,花壇鄉虎山街295巷20弄8號2、3樓,(04)7880699,註銷,2024-07-02,府教社字第1130250179號,2024-07-01,彰化縣
24,彰化縣私立安貝爾文理短期補習班,謝文珠,楊雅鈴,彰化市東芳里永芳路467巷28號1樓、2樓,(04)761-3955、(04)761-0633,註銷,2024-07-01,府教社字第1130246718號,2024-07-01,彰化縣
25,彰化縣私立小燕技藝文理短期補習班,許立燕,許立燕,埔心鄉義民村員鹿路二段334巷23號1樓,0919-688916,註銷,2024-06-25,府教社字第1130238605號,2024-06-30,彰化縣
26,彰化縣私立孟林文理短期補習班,朱晏湄,朱晏湄,彰化縣永靖鄉東門路142-1號1、2樓,(04)8238853,註銷,2024-06-24,府教社字第1130232517號,2024-06-30,彰化縣
27,私立向日葵正音短期補習班,許自圻,許家瑜,鹿港鎮埔崙里友愛街16號,(04)7786697,註銷,2024-07-05,府教社字第1130252430號,2024-06-28,彰化縣
28,私立無尾熊音樂美語短期補習班,黃秀玉,黃秀玉,芬園鄉進芬村彰南路三段333號1樓.337號1樓,(04)92523683,註銷,2024-06-26,府教社字第1130240781號,2024-06-24,彰化縣
1,南投縣私立中興文理短期補習班,共同設立人：顏克敏、顏?昌，設立人代表：顏克敏,顏克敏,南投市南崗一路135巷3號1-3樓,(049)2222657,註銷,2024-08-15,府教社字第1130202021號,2024-08-15,南投縣
2,南投縣私立宏文文理短期補習班,陳忠義,陳忠義,草屯鎮虎山路353巷4號1-2樓,(049)2351953,註銷,2024-06-18,府教社字第1130148656號,2024-06-18,南投縣
3,南投縣私立民傳文理短期補習班,曾瑜貞,曾瑜貞,魚池鄉魚池街334巷4號1-3樓,(049)2897606,註銷,2024-06-03,府教社字第1130139166號,2024-06-03,南投縣
1,私立小蝌蚪音樂短期補習班,湯姵瑜,湯姵瑜,雲林縣西螺鎮新興路120號1樓,(05)587309,註銷,2024-08-05,府教社二字第1132437343號,2024-08-05,雲林縣
