序號,補習班名稱,班址,電話,立案文號,立案日期,電子郵件,短期補習班類別,地區縣市
58,夏恩國際教育股份有限公司附設私立北新文理短期補習班,新店區永新街22號3樓,66370166,1122483431,2023-12-28,,文理類,新北市政府
59,私立䕒䕒文理短期補習班,林口區南勢街248號1樓(一層),0912126832,1122446853,2023-12-26,,文理類,新北市政府
60,私立萌芽文理短期補習班,板橋區實踐路130號3樓,29631169,1122441883,2023-12-26,,文理類,新北市政府
61,私立康唯美語文理短期補習班,新莊區中原路91號2樓,29964978,1122400782,2023-12-23,,文理類,新北市政府
62,私立32U視覺藝術技藝短期補習班,林口區文化三路2段41巷10號,0926204567,1122465864,2023-12-22,,美術、書法、攝影、美工設計、圍棋類,新北市政府
63,私立愛樂者技藝短期補習班,新莊區榮華路1段5號1樓、7號1樓,85213237,1122356325,2023-12-20,philharmoniker.musik@gmail.com,音樂、舞蹈類,新北市政府
64,私立雨農文理短期補習班,板橋區雨農路50號、52號、54號、56號2樓,22540260,1122362291,2023-12-15,,文理類,新北市政府
65,私立巨騰文理短期補習班,土城區裕民路70號2樓,82616000,1122263057,2023-12-11,liveabcleli@gmail.com,文理類,新北市政府
66,私立瑞莎塔東湖文理技藝短期補習班,林口區信義路59號(1、2層),26069049,1122350876,2023-12-07,,文理類,新北市政府
67,私立吾米創發文理技藝短期補習班,淡水區後洲路1段111號3樓,28052898,1122132335,2023-12-07,,文理類,新北市政府
68,私立京英文理短期補習班,鶯歌區建國路210巷4號(1、2層)、4號之1(1層),26788587,1122332249,2023-12-06,,文理類,新北市政府
1,私立麋爾頓文理技藝短期補習班,大園區大勇路26號2-5樓,(03)2878335,府教終字第1130173300號,2024-06-27,miltonkids2022@gmail.com,文理類,桃園市政府
2,私立嘉分文理短期補習班,平鎮區環南路三段53-1號2樓,(03)4579669,府教終字第1130130366號,2024-06-20,Hs2253@hess.com.tw,文理類,桃園市政府
3,私立上課囉文理短期補習班,中壢區皓東街23號1樓,(03)4520908,府教終字第1130143629號,2024-06-18,alwaysrs@gmail.com,文理類,桃園市政府
4,私立湯瑪士文理短期補習班,八德區中山路117號1-2樓,(03)3732003,府教終字第1130116766號,2024-06-13,d038458@hotmail.com,文理類,桃園市政府
5,成鋼國際股份有限公司附設私立樂青英語文理短期補習班,龜山區文化二路526號1樓,(03)3970221,府教終字第1130155268號,2024-06-12,zhiweisteam@gmail.com,文理類,桃園市政府
6,私立樂捷文理技藝短期補習班,桃園區莊敬路一段187號1-3樓,(03)3161791,府教終字第1130087089號,2024-04-25,yifen@cycu.org.tw,文理類,桃園市政府
7,私立方華文理短期補習班中壢分班,平鎮區德育路97號1-3樓,(03)4261358,府教終字第1130070392號,2024-04-19,jean56688@yahoo.com.tw,文理類,桃園市政府
8,私立愛樂藝術坊技藝短期補習班,蘆竹區忠孝西路39號2樓,(03)3222096,府教終字第1130067298號,2024-04-17,a0932075091@gmail.com,音樂、舞蹈類,桃園市政府
9,私立沐樂文理技藝短期補習班,八德區豐田三路71號1樓及夾層,(03),府教終字第1130087088號,2024-04-10,Halus651109@gmail.com,外語類,桃園市政府
10,私立快樂家文理短期補習班,龜山區樂學路560號1樓,(03)3282636,府教終字第1130066435號,2024-04-09,peggy9999g@gmail.com,文理類,桃園市政府
11,私立學府音樂技藝短期補習班,中壢區長樂二街27號1樓,(03)4336488,府教終字第1130062773號,2024-04-02,imusic4336488@gmail.com,音樂、舞蹈類,桃園市政府
12,私立方華文理短期補習班楊梅分班,楊梅區環南路216號1-2樓,(03)4880868,府教終字第1130048199號,2024-04-02,jean56688@yahoo.com.tw,文理類,桃園市政府
13,私立文恩文理短期補習班,桃園區延平路168號1-2樓,(03)2180570,府教終字第1130060294號,2024-03-19,Wending164@gmail.com,外語類,桃園市政府
14,私立武欣文理短期補習班,中壢區過嶺路一段22號1-4樓,(03)4206781,府教終字第1130035122號,2024-03-13,wuhsing2024@gmail.com,文理類,桃園市政府
15,私立上群文理短期補習班,蘆竹區五福六路28號1樓,(03)3229477,府教終字第1130061014號,2024-03-13,ssssun2@gmail.com,文理類,桃園市政府
16,私立嘉成文理短期補習班,八德區介壽路一段919號4樓之1、4樓之2、4樓之3,(03)3662598,府教終字第113019675號,2024-02-26,hs2249@hess.com.tw,外語類,桃園市政府
17,私立荼荼舞蹈空間技藝短期補習班,大園區大成路一段10號1、2樓,(03)2877555,府教終字第1130013545號,2024-02-23,will101zs@gmail.com,音樂、舞蹈類,桃園市政府
18,私立茱莉亞技藝短期補習班,蘆竹區六福路156號1樓,(03)3526897,府教終字第1130010579號,2024-02-07,rebecca790202@gmail.com,音樂、舞蹈類,桃園市政府
19,私立龍科國際美語村文理短期補習班,龍潭區梅龍路500號1樓,(03)4791109,府教終字第1130005741號,2024-01-31,mikechang@arthouses.com.tw,文理類,桃園市政府
20,私立一千英文文理短期補習班,平鎮區振興路59號1樓及2樓部分,(03)4592258,府教終字第1130010643號,2024-01-31,ycliu@callutheran.edu,文理類,桃園市政府
21,私立千和文理短期補習班,龍潭區神龍路224號1-2樓,(03)4791885,府教終字第1130012927號,2024-01-25,allgood4791885@gmail.com,文理類,桃園市政府
22,私立奧首華文理短期補習班快樂分班,桃園區大有路715號1-3樓,(03)3587231,府教終字第1120344388號,2024-01-23,Ba871100@gmail.com,文理類,桃園市政府
23,私立啟程文理短期補習班,龍潭區中正路185巷1號1-3樓,(03)4797058,府教終字第1120357022號,2024-01-16,liveabclongtan@gmail.com,文理類,桃園市政府
24,私立河馬美術技藝短期補習班,桃園區南豐街193號1-2樓,(03)3663721,府教終字第1120360595號,2024-01-16,Yijing4877ann@gmail.com,美術、書法、攝影、美工設計、圍棋類,桃園市政府
25,得邑投資股份有限公司私立好學習文理短期補習班,桃園區大有路150號1-2樓,(03)3361515,府教終字第1120325480號,2024-01-03,m3361515@meikoschool.com.tw,文理類,桃園市政府
26,私立弘揚文理短期補習班,中壢區龍東路410號1-2樓,(03)4560923,府教終字第1120333607號,2024-01-02,chiospea@yahoo.com.tw,文理類,桃園市政府
27,私立小立昇文理短期補習班,中壢區普光街117號1-3樓,(03)4662829,府教終字第1120300424號,2023-12-19,tsung851221@gmail.com,文理類,桃園市政府
28,私立雷盟德技藝文理短期補習班,龍潭區神龍路284號1-4樓,(03)4704720,府教終字第1120314825號,2023-12-06,raymondesign4@gmail.com,文理類,桃園市政府
29,私立才鼎文理短期補習班,桃園區中山北路45號4樓,(03)3352456,府教終字第1120306943號,2023-12-06,gonobel@seed.net.tw,文理類,桃園市政府
30,私立育昇大成文理語文短期補習班和平分班,八德區和平路174號、176號1樓及174-1號2樓,(03)3765350,府教終字第1120302982號,2023-12-01,ysdc3765350@gmail.com,文理類,桃園市政府
1,臺中市私立崇光維尼文理短期補習班,臺中市大里區東明路233、235號1-2樓,(04)2487-6359,中市教終字第1130051943號,2024-06-25,toohmaster2002@yahoo.com.tw,文理類,臺中市政府
2,宜禾文教事業有限公司附設臺中市私立宜禾文理短期補習班,臺中市沙鹿區平等路47號1-4樓,(04)26655533,中市教終字第1130048443號,2024-06-14,,文理類,臺中市政府
3,松麗資訊文教發展有限公司附設臺中市私立宇軒美語短期補習班,臺中市北區陝西四街58號1樓、地下1樓,(04)22939968,中市教終字第1130050203號,2024-06-13,kerchung2001@yahoo.com.tw,文理類,臺中市政府
4,臺中市私立藝嘉人技藝短期補習班,臺中市西屯區朝馬七街10號1-2樓,0931-375166,中市教終字第1130048502號,2024-06-11,sexybeautywe112@gmail.com,美容、美髮理髮類,臺中市政府
5,六角教育有公司附設臺中市私立騰科文理技藝短期補習班,臺中市南屯區向上路一段688號(第一層),(04)23109900,中市教終字第1130048002號,2024-06-11,dashin202308@gmail.com,文理類,臺中市政府
6,臺中市私立彩攸文理技藝短期補習班,臺中市西區忠仁街92號1-2樓,(04)23728178,中市教終字第1130045591號,2024-05-30,jadynchang1208@gmail.com,文理類,臺中市政府
7,臺中市私立世圻文理電腦短期補習班,臺中市潭子區潭陽路59巷2號1-4樓,(04)2536-1286,中市教終字第1130045241號,2024-05-30,open312@gmail.com,文理類,臺中市政府
8,臺中市私立旭星文理短期補習班新興分班,臺中市太平區新興路205號1-4樓,(04)23951062,中市教終字第1130044432號,2024-05-28,sunrise7762@gmail.com,文理類,臺中市政府
9,臺中市私立唯藝術美術短期補習班,臺中市南屯區河南路四段198號1-3樓,(04)22522188,中市教終字第1130042882號,2024-05-28,taichungwellart@gmail.com,美術、書法、攝影、美工設計、圍棋類,臺中市政府
10,臺中市私立荷雅文理短期補習班,臺中市北屯區松竹路二段383-2號1-2樓,(04)22462202,中市教終字第1130041710號,2024-05-22,pupu5201314@gmail.com,文理類,臺中市政府
11,優高晉教育股份有限公司附設臺中市私立優高晉文理短期補習班,臺中市北屯區軍福十三路393號1-3樓,(04)2330-6092,中市教終字第1130043180號,2024-05-22,chenclemente@gmail.com,文理類,臺中市政府
12,明光文教事業股份有限公司附設臺中市私立進塾昌平文理短期補習班,臺中市北屯區昌平路二段8之17號1-4樓,(04)2242-8588,中市教終字第1130033768號,2024-05-20,public@meikoschool.com.tw,文理類,臺中市政府
13,臺中市私立祐任文理短期補習班,臺中市北區文化街20之1號1-2樓,0983608601,中市教終字第1130041303號,2024-05-16,g1122351@gmail.com,文理類,臺中市政府
14,臺中市私立程學文理短期補習班,臺中市南屯區惠中路三段43號1-4樓,(04)22510970,中市教終字第1130038102號,2024-05-13,mpmz116@gmail.com,文理類,臺中市政府
15,臺中市私立牧克音樂短期補習班,臺中市東區臺中路131號4樓,(04)24067758*21,中市教終字第1130039292號,2024-05-13,amy@firstone.com.tw,音樂、舞蹈類,臺中市政府
16,臺中市私立信航文理短期補習班,"臺中市西區四維街2-1號,2-1號地下室",(04)22226191,中市教終字第1130037339號,2024-05-09,stylinvention@gmail.com,文理類,臺中市政府
17,臺中市私立绘畫室美術短期補習班,臺中市南區學府路135巷2弄13號（使用樓層：1樓）,0975385795,中市教終字第1130037928號,2024-05-07,gzl74143@gmail.com,美術、書法、攝影、美工設計、圍棋類,臺中市政府
18,臺中市私立沐川技藝短期補習班,臺中市潭子區雅豐街268號1-2樓,(04)2535-7167,中市教終字第1130037423號,2024-05-06,cash681125685117@gmail.com,音樂、舞蹈類,臺中市政府
19,愛思嘉國際顧問有限公司附設臺中市私立環球美業技藝文理短期補習班,臺中市西區美村路一段118巷9號3樓,(04)23261999,中市教終字第1130032620號,2024-05-03,gbas.tw@gmail.com,文理類,臺中市政府
20,臺中市私立月曜新光文理短期補習班,臺中市南屯區河南路四段336號1-3樓,(04)22556611,中市教終字第1130035029號,2024-05-02,tumei57@gmail.com,文理類,臺中市政府
21,智碩資優文教事業有限公司附設臺中市私立IL劍橋國際文理短期補習班,臺中市豐原區同安街100號1-2樓,(04)25250019,中市教終字第1130034451號,2024-04-30,vic25201216@gmail.com,文理類,臺中市政府
22,臺中市私立創意小奇兵音樂短期補習班,臺中市南區明德街32號2樓,(04)25250252,中市教終字第1130035385號,2024-04-30,,音樂、舞蹈類,臺中市政府
23,臺中市私立哈伯美語短期補習班,臺中市大里區五福二街81號1-2樓,0923258184,中市教終字第1130033854號,2024-04-30,boss093854@gmail.com,外語類,臺中市政府
24,臺中市私立劉轍文理短期補習班西屯分班,臺中市西屯區西屯路三段179之5號1-2樓,(04)24625955,中市教終字第1130034096號,2024-04-26,sandy4032@yahoo.com.tw,文理類,臺中市政府
25,臺中市私立百富鑫文理短期補習班,臺中市西屯區西屯路三段166之7號1-3樓,(04)24612666,中市教終字第1130028678號,2024-04-26,mpmz116@gmail.com,文理類,臺中市政府
26,臺中市私立美智文理短期補習班,臺市南區復興路二段103號（使用樓層：1樓）、103號2樓、107-3號（使用樓層：1-2樓）,(04),中市教終字第1130031803號,2024-04-24,,文理類,臺中市政府
27,臺中市私立亮點文理短期補習班,臺中市西屯區洛陽路146號1-2樓,(04)23154840,中市教終字第1130032161號,2024-04-19,wttysummer@gmail.com,文理類,臺中市政府
28,臺中市私立京賀文理短期補習班,臺中市烏日區健行北路116號1-2樓,0921325744,中市教終字第1130026356號,2024-04-09,rita.jacky43@gmail.com,文理類,臺中市政府
29,臺中市私立全美文理短期補習班,臺中市神岡區社南街237巷3號1-2樓,(04)2562-7889,中市教終字第1130025922號,2024-04-09,gf.school75@gmail.com,文理類,臺中市政府
